"Date","Open","High","Low","Last","Volume","Turnover"
"2018-12-21",5.03,5.054,4.966,5.01,677024.0,3389537.399
"2018-12-20",5.036,5.1,5.03,5.05,564831.0,2862039.69
"2018-12-19",5.102,5.158,5.092,5.13,622608.0,3195116.802
"2018-12-18",5.186,5.186,5.086,5.116,686144.0,3518503.384
"2018-12-17",5.202,5.25,5.184,5.222,436811.0,2276290.008
"2018-12-14",5.254,5.296,5.176,5.28,469915.0,2466322.772
"2018-12-13",5.28,5.298,5.198,5.282,533667.0,2807939.864
"2018-12-12",5.15,5.274,5.15,5.274,948951.0,4969910.85
"2018-12-11",5.01,5.16,5.01,5.134,909171.0,4643378.808
"2018-12-10",4.882,4.97,4.854,4.953,986767.0,4865196.836
"2018-12-07",4.907,5.036,4.9,4.9,1030234.0,5103540.55
"2018-12-06",4.75,4.846,4.711,4.805,3851077.0,18437453.532
"2018-12-05",4.82,4.836,4.742,4.77,518900.0,2481761.675
"2018-12-04",4.928,4.954,4.85,4.86,294617.0,1439514.239
"2018-12-03",4.934,4.98,4.934,4.949,481409.0,2388882.464
"2018-11-30",4.837,4.872,4.82,4.82,888786.0,4293432.812
"2018-11-29",4.857,4.89,4.833,4.841,524126.0,2546842.286
"2018-11-28",4.828,4.901,4.797,4.822,429922.0,2081893.342
"2018-11-27",4.89,4.945,4.826,4.868,326364.0,1592880.945
"2018-11-26",4.877,4.925,4.877,4.888,246097.0,1205205.239
"2018-11-23",4.817,4.877,4.806,4.869,301275.0,1459079.665
"2018-11-22",4.87,4.875,4.776,4.803,330979.0,1591730.019
"2018-11-21",4.894,4.926,4.871,4.899,342066.0,1672874.439
"2018-11-20",4.984,4.993,4.837,4.877,521792.0,2556786.315
"2018-11-19",5.114,5.134,5.028,5.038,443859.0,2250362.962
"2018-11-16",5.034,5.13,5.034,5.108,281045.0,1430274.592
"2018-11-15",5.11,5.136,4.992,5.076,551942.0,2790234.199
"2018-11-14",5.162,5.188,5.12,5.12,294207.0,1513094.116
"2018-11-13",5.118,5.21,5.118,5.188,429300.0,2217652.094
"2018-11-12",5.17,5.232,5.106,5.118,617615.0,3194723.328
"2018-11-09",5.188,5.214,5.134,5.142,524160.0,2706479.934
"2018-11-08",5.222,5.23,5.174,5.202,245340.0,1277012.986
"2018-11-07",5.158,5.238,5.158,5.216,706786.0,3673817.682
"2018-11-06",5.12,5.15,5.09,5.116,228165.0,1168350.06
"2018-11-05",5.08,5.168,5.08,5.11,403418.0,2070547.564
"2018-11-02",5.09,5.14,5.062,5.084,671593.0,3424431.926
"2018-11-01",4.955,5.06,4.955,5.026,458737.0,2304155.816
"2018-10-31",4.929,5.044,4.907,5.016,611417.0,3054704.364
"2018-10-30",4.908,4.938,4.829,4.9,212595.0,1040190.783
"2018-10-29",4.89,4.962,4.89,4.9,339853.0,1673328.682
"2018-10-26",4.701,4.91,4.695,4.856,1599263.0,7739649.952
"2018-10-25",4.635,4.742,4.535,4.706,992533.0,4613615.798
"2018-10-24",4.764,4.81,4.652,4.68,588433.0,2771948.768
"2018-10-23",4.796,4.852,4.738,4.779,615294.0,2948753.408
"2018-10-22",4.9,4.935,4.841,4.858,440063.0,2148960.706
"2018-10-19",4.848,4.9,4.755,4.853,632061.0,3051256.28
"2018-10-18",4.804,4.916,4.768,4.832,1163917.0,5644907.841
"2018-10-17",4.703,4.764,4.691,4.74,274910.0,1300214.685
"2018-10-16",4.568,4.69,4.568,4.674,459356.0,2134040.439
"2018-10-15",4.515,4.558,4.48,4.544,128113.0,579800.248
"2018-10-12",4.492,4.543,4.464,4.505,356606.0,1607672.133
"2018-10-11",4.399,4.52,4.388,4.456,437967.0,1952357.738
"2018-10-10",4.625,4.625,4.488,4.499,507125.0,2297720.361
"2018-10-09",4.63,4.664,4.576,4.63,154747.0,715237.126
"2018-10-08",4.65,4.66,4.613,4.626,389551.0,1809046.818
"2018-10-05",4.73,4.782,4.657,4.658,244915.0,1151215.926
"2018-10-04",4.725,4.796,4.688,4.76,313478.0,1485972.277
"2018-10-03",4.751,4.795,4.71,4.747,315409.0,1499218.405
"2018-10-02",4.795,4.801,4.705,4.754,508895.0,2416301.333
"2018-10-01",4.789,4.85,4.789,4.827,262289.0,1266167.264
"2018-09-28",4.846,4.872,4.774,4.784,312676.0,1504950.857
"2018-09-27",4.714,4.862,4.67,4.845,387041.0,1860199.483
"2018-09-26",4.738,4.755,4.71,4.741,246367.0,1165636.836
"2018-09-25",4.722,4.757,4.678,4.745,191504.0,905743.175
"2018-09-24",4.718,4.761,4.686,4.697,241122.0,1136823.085
"2018-09-21",4.712,4.784,4.684,4.764,612980.0,2910241.37
"2018-09-20",4.709,4.747,4.66,4.682,255017.0,1198600.286
"2018-09-19",4.847,4.847,4.595,4.685,1398894.0,6561732.288
"2018-09-18",4.74,4.842,4.732,4.819,428225.0,2055970.666
